"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L2RI45TF","journalArticle","2017","Reglin, B.; Secomb, T. W.","Mechanisms of hypoxia-induced angiogenesis and its role in cancer therapy","Frontiers in Physiology","","","10.3389/fphys.2017.01151","","","2017","2025-07-24 20:26:38","2025-07-24 20:26:38","","1151","","","8","","","","","","","","","","","","","","","","","Citation Key: Reglin2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTP8YUAA","journalArticle","2023","Sarkar, Supriyo; Sen, Anirban; Bhattacharya, S.","A systems biology approach to modeling inflammation-induced angiogenesis via IL-6 signaling","npj Systems Biology and Applications","","","10.1038/s41540-023-00264-w","","","2023","2025-07-24 20:26:38","2025-07-24 20:26:38","","4","","1","9","","","","","","","","","","","","","","","","","Citation Key: Sarkar2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SY3VPFX","journalArticle","2024","Guerra, Roberta; Adib, Sepideh; Kuhl, Ellen","A meshless computational model for strain-induced angiogenesis in soft tissue","Biomedicines","","","10.3390/biomedicines12030385","","","2024","2025-07-24 20:26:38","2025-07-24 20:26:38","","385","","3","12","","","","","","","","","","","","","","","","","Citation Key: Guerra2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHBCIFJP","journalArticle","2020","Phillips, C. M.; Lima, E. A. B. F.; Linninger, A. A.","A hybrid mathematical model for tumor-induced angiogenesis","PLOS ONE","","","10.1371/journal.pone.0231137","","","2020","2025-07-24 20:26:38","2025-07-24 20:26:38","","e0231137","","6","15","","","","","","","","","","","","","","","","","Citation Key: Phillips2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQYQIIS3","journalArticle","2012","Hu, Dan; Cai, David; Levine, Herbert","Adaptation and optimization of vascular networks in fluctuating tissue environments","PLoS ONE","","","10.1371/journal.pone.0031711","","","2012","2025-07-24 20:26:38","2025-07-24 20:26:38","","e31711","","3","7","","","","","","","","","","","","","","","","","Citation Key: Hu2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7955I5DB","conferencePaper","2023","Simões, Rita; dos Santos, Pedro; Pinto, F.; Silva, Carlos A.","Learning to grow vascular networks: a reinforcement learning approach","Lecture notes in computer science (LNCS)","","","10.1007/978-3-031-43287-8_8","","","2023","2025-07-24 20:26:38","2025-07-24 20:26:38","","99–113","","","13941","","","","","","","","Springer","","","","","","","","","Citation Key: Simoes2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTZWAD9X","journalArticle","2021","Ouarné, Marie; Pena, Andreia; Franco, Cláudio Areias","From remodeling to quiescence: The transformation of the vascular network","Cells & Development","","2667-2901","10.1016/j.cdev.2021.203735","","The vascular system is essential for embryogenesis, healing, and homeostasis. Dysfunction or deregulated blood vessel function contributes to multiple diseases, including diabetic retinopathy, cancer, hypertension, or vascular malformations. A balance between the formation of new blood vessels, vascular remodeling, and vessel quiescence is fundamental for tissue growth and function. Whilst the major mechanisms contributing to the formation of new blood vessels have been well explored in recent years, vascular remodeling and quiescence remain poorly understood. In this review, we highlight the cellular and molecular mechanisms responsible for vessel remodeling and quiescence during angiogenesis. We further underline how impaired remodeling and/or destabilization of vessel networks can contribute to vascular pathologies. Finally, we speculate how addressing the molecular mechanisms of vascular remodeling and stabilization could help to treat vascular-related disorders.","2021-12","2025-07-24 20:26:38","2025-07-24 20:26:38","","203735","","","168","","","From remodeling to quiescence","","","","","","","english","","","","","","","Citation Key: Ouarne2021 PMID: 34425253","","","","Endothelial cell; Humans; Neovascularization; Pathologic; Angiogenesis; Vascular disease; Vascular quiescence; Vascular remodeling; Vascular Remodeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86TQI8XK","journalArticle","2012","Secomb, Timothy W.; Dewhirst, Mark W.; Pries, Axel R.","Structural Adaptation of Normal and Tumour Vascular Networks","Basic & Clinical Pharmacology & Toxicology","","1742-7843","10.1111/j.1742-7843.2011.00815.x","","Abstract: Vascular networks are dynamic structures, adapting to changing conditions by structural remodelling of vessel diameters and by growth of new vessels and regression of existing vessels. The vast number of blood vessels in the circulatory system, more than 109, implies that vessels' arrangement and structure are not under individual genetic control but emerge as a result of generic responses of each segment to the various stimuli that it experiences. To obtain insight into the types of response that are needed, a network-oriented approach has been used, in which theoretical models are used to simulate structural adaptation in vascular networks, and the results are compared with experimental observations. With regard to the structural control of vessel diameters, this approach shows that responses to both haemodynamic and metabolic stimuli are needed for the formation of functionally adequate and efficient network structures. Furthermore, information transfer in both upstream and downstream directions is essential for balancing flows between long and short flow pathways. Otherwise, functional shunting occurs, that is, short pathways become enlarged and flow bypasses longer pathways. Information transfer in the upstream direction is achieved by conducted responses communicated along vessel walls. Simulations of structural adaptation in tumour microvascular networks indicate that impaired vascular communication, resulting in functional shunting, may be an important factor causing the dysfunctional microcirculation and local hypoxia typically observed in tumours. Anti-angiogenic treatment of tumours may restore vascular communication and thereby improve or normalize flow distribution in tumour vasculature.","2012","2025-07-24 20:26:38","2025-07-24 20:26:38","2024-09-19","63–69","","1","110","","","","","","","","","","english","","","","","","","Citation Key: Secomb2012 tex.copyright: © 2011 The Authors. Basic & Clinical Pharmacology & Toxicology © 2011 Nordic Pharmacological Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2T9AFAI","journalArticle","2014","Pries, Axel R.; Secomb, Timothy W.","Making Microvascular Networks Work: Angiogenesis, Remodeling, and Pruning","Physiology","","1548-9213","10.1152/physiol.00012.2014","","The adequate and efficient functioning of the microcirculation requires not only numerous vessels providing a large surface area for transport but also a structure that provides short diffusion distances from capillaries to tissue and efficient distribution of convective blood flow. Theoretical models show how a combination of angiogenesis, remodeling, and pruning in response to hemodynamic and metabolic stimuli, termed “angioadaptation,” generates well organized, functional networks.","2014-11","2025-07-24 20:26:38","2025-07-24 20:26:38","2024-09-19","446–455","","6","29","","","Making Microvascular Networks Work","","","","","","","","","","","","","","Citation Key: Pries2014 PMID: 25362638 tex.pmcid: PMC4280154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFQ8RWUZ","journalArticle","2020","Ricardo Santamarı́a; Santamaría, Ricardo; M. González-Álvarez; González-Álvarez, María; R. García Delgado; Delgado, Raquel; Sergio Esteban; Esteban, Sergio; Alicia G. Arroyo; Arroyo, Alicia G.","Remodeling of the Microvasculature: May the Blood Flow Be With You.","Frontiers in Physiology","","","10.3389/fphys.2020.586852","","The vasculature ensures optimal delivery of nutrients and oxygen throughout the body, and to achieve this function it must continually adapt to varying tissue demands. Newly formed vascular plexus during development are immature and required dynamic remodeling to generate well-patterned functional networks. This is achieved by remodeling of the capillaries preserving those which are functional and eliminating other ones. A balanced and dynamically regulated capillary remodeling will therefore ensure optimal distribution of blood and nutrients to the tissues. This is particularly important in pathological context in which deficient or excessive vascular remodeling may worsen tissue perfusion and hamper tissue repair. Blood flow is a major determinant of microvascular reshaping since capillaries are pruned when relatively less perfused and they split when exposed to high flow in order to shape the microvascular network for optimal tissue perfusion and oxygenation. The molecular machinery underlying blood flow sensing by endothelial cells is being deciphered, but much less is known about how this translates into endothelial cell responses as alignment, polarization and directed migration to drive capillary remodeling, particularly in vivo. Part of this knowledge is theoretical from computational models since blood flow hemodynamics are not easily recapitulated by in vitro or ex vivo approaches. Moreover, these events are difficult to visualize in vivo due their infrequency and briefness. Studies had been limited to postnatal mouse retina and vascular beds in zebrafish but new tools as advanced microscopy and image analysis are strengthening our understanding of capillary remodeling. In this review we introduce the concept of remodeling of the microvasculature and its relevance in physiology and pathology. We summarize the current knowledge on the mechanisms contributing to capillary regression and to capillary splitting highlighting the key role of blood flow to orchestrate this process. Finally, we comment the potential and possibilities that microfluidics offers to this field. Since capillary remodeling mechanisms are often reactivated in prevalent pathologies as cancer and cardiovascular disease, all this knowledge could be eventually used to improve the functionality of capillary networks in diseased tissues and promote their repair.","2020","2025-07-24 20:26:38","2025-07-24 20:26:38","","586852","","","11","","","","","","","","","","","","","","","","","Citation Key: ricardosantamariaRemodelingMicrovasculatureMay2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHJ4ZK73","journalArticle","2010","Tero, Atsushi; Takagi, Seiji; Saigusa, Tetsu; Ito, Kentaro; Bebber, Dan P.; Fricker, Mark D.; Yumiki, Kenji; Kobayashi, Ryo; Nakagaki, Toshiyuki","Rules for biologically inspired adaptive network design","Science (New York, N.Y.)","","1095-9203","10.1126/science.1177894","","Transport networks are ubiquitous in both social and biological systems. Robust network performance involves a complex trade-off involving cost, transport efficiency, and fault tolerance. Biological networks have been honed by many cycles of evolutionary selection pressure and are likely to yield reasonable solutions to such combinatorial optimization problems. Furthermore, they develop without centralized control and may represent a readily scalable solution for growing networks in general. We show that the slime mold Physarum polycephalum forms networks with comparable efficiency, fault tolerance, and cost to those of real-world infrastructure networks–in this case, the Tokyo rail system. The core mechanisms needed for adaptive network formation can be captured in a biologically inspired mathematical model that may be useful to guide network construction in other domains.","2010-01","2025-07-24 20:26:38","2025-07-24 20:26:38","","439–442","","5964","327","","","","","","","","","","english","","","","","","","Citation Key: Tero2010 PMID: 20093467","","","","Biological; Computer Simulation; Models; Algorithms; Food; Physarum polycephalum; Railroads; Systems Biology; Tokyo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4H73GJB","journalArticle","2010","Pries, Axel R.; Höpfner, Michael; le Noble, Ferdinand; Dewhirst, Mark W.; Secomb, Timothy W.","The shunt problem: Control of functional shunting in normal and tumour vasculature","Nature reviews. Cancer","","1474-175X","10.1038/nrc2895","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3109666/","Networks of blood vessels in normal and tumour tissues have heterogeneous structures, with widely varying blood flow pathway lengths. To achieve efficient blood flow distribution, mechanisms for the structural adaptation of vessel diameters must be able to inhibit the formation of functional shunts (whereby short pathways become enlarged and flow bypasses long pathways). Such adaptation requires information about tissue metabolic status to be communicated upstream to feeding vessels, through conducted responses. We propose that impaired vascular communication in tumour microvascular networks, leading to functional shunting, is a primary cause of dysfunctional microcirculation and local hypoxia in cancer. We suggest that anti-angiogenic treatment of tumours may restore vascular communication and thereby improve or normalize flow distribution in tumour vasculature.","2010-08","2025-07-24 20:26:38","2025-07-24 20:26:38","2025-04-26","587–593","","8","10","","Nat Rev Cancer","The shunt problem","","","","","","","","","","","","","","Citation Key: priesShuntProblemControl2010 PMID: 20631803 tex.pmcid: PMC3109666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ANMT5M8","journalArticle","2021","Uçar, Mehmet Can; Kamenev, Dmitrii; Sunadome, Kazunori; Fachet, Dominik; Lallemend, Francois; Adameyko, Igor; Hadjab, Saida; Hannezo, Edouard","Theory of branching morphogenesis by local interactions and global guidance","Nature Communications","","2041-1723","10.1038/s41467-021-27135-5","","Branching morphogenesis governs the formation of many organs such as lung, kidney, and the neurovascular system. Many studies have explored system-specific molecular and cellular regulatory mechanisms, as well as self-organizing rules underlying branching morphogenesis. However, in addition to local cues, branched tissue growth can also be influenced by global guidance. Here, we develop a theoretical framework for a stochastic self-organized branching process in the presence of external cues. Combining analytical theory with numerical simulations, we predict differential signatures of global vs. local regulatory mechanisms on the branching pattern, such as angle distributions, domain size, and space-filling efficiency. We find that branch alignment follows a generic scaling law determined by the strength of global guidance, while local interactions influence the tissue density but not its overall territory. Finally, using zebrafish innervation as a model system, we test these key features of the model experimentally. Our work thus provides quantitative predictions to disentangle the role of different types of cues in shaping branched structures across scales.","2021-11","2025-07-24 20:26:38","2025-07-24 20:26:38","","6830","","1","12","","","","","","","","","","english","","","","","","","Citation Key: Ucar2021 PMID: 34819507 tex.pmcid: PMC8613190","","","","Animals; Biological; Models; Stochastic Processes; Animal; Genes; Genetically Modified; Intravital Microscopy; Morphogenesis; Reporter; Sensory Receptor Cells; Zebrafish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGPNEHQG","journalArticle","2021","Nardini, John T.; Stolz, Bernadette J.; Flores, Kevin B.; Harrington, Heather A.; Byrne, Helen M.","Topological data analysis distinguishes parameter regimes in the Anderson-Chaplain model of angiogenesis","PLoS Computational Biology","","1553-734X","10.1371/journal.pcbi.1009094","","Angiogenesis is the process by which blood vessels form from pre-existing vessels. It plays a key role in many biological processes, including embryonic development and wound healing, and contributes to many diseases including cancer and rheumatoid arthritis. The structure of the resulting vessel networks determines their ability to deliver nutrients and remove waste products from biological tissues. Here we simulate the Anderson-Chaplain model of angiogenesis at different parameter values and quantify the vessel architectures of the resulting synthetic data. Specifically, we propose a topological data analysis (TDA) pipeline for systematic analysis of the model. TDA is a vibrant and relatively new field of computational mathematics for studying the shape of data. We compute topological and standard descriptors of model simulations generated by different parameter values. We show that TDA of model simulation data stratifies parameter space into regions with similar vessel morphology. The methodologies proposed here are widely applicable to other synthetic and experimental data including wound healing, development, and plant biology., Vascular networks play a key role in many physiological processes, by delivering nutrition to, and removing waste from, biological tissues. In cancer, tumors stimulate the growth of new blood vessels, via a process called angiogenesis. The resulting vascular structure comprises many inter-connected vessels which lead to emergent morphologies that influence the rate of tumor growth and treatment efficacy. In this work, we consider several approaches to summarize the morphology of synthetic vascular networks generated from a mathematical model of tumor-induced angiogenesis. We find that a topological approach can be used quantify vascular morphology of model simulations and group the simulations into biologically interpretable clusters. This methodology may be useful for the diagnosis of abnormal blood vessel networks and quantifying the efficacy of vascular-targeting treatments.","2021-06","2025-07-24 20:26:38","2025-07-24 20:26:38","2024-09-19","e1009094","","6","17","","","","","","","","","","","","","","","","","Citation Key: Nardini2021 PMID: 34181657 tex.pmcid: PMC8270459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB4UD9Z3","journalArticle","2019","Byrne, Helen M.; Harrington, Heather A.; Muschel, Ruth; Reinert, Gesine; Stolz, Bernadette J.; Tillmann, Ulrike","Topology characterises tumour vasculature","Mathematics Today","","","","","","2019","2025-07-24 20:26:38","2025-07-24 20:26:38","2025-04-26","206–210","","5","55","","","","","","","","","","","","","","","","","Citation Key: byrneTopologyCharacterisesTumour2019 Publisher: Institute of Mathematics and its Applications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"687VGKP7","bookSection","2021","Bakker, Erik N. T. P.; van Bavel, Ed","Biomechanics in Small Artery Remodeling","Vascular Mechanobiology in Physiology and Disease","978-3-030-63164-2","","","","In this chapter, we discuss how biomechanical forces influence vascular design. We will focus on the small arteries and arterioles, i.e., those vessels that together cause the majority of resistance for perfusion. We will do so because pathological alteration in the caliber of these resistance vessels, “remodeling,” is related to both hypertension and impaired local perfusion reserve and tissue ischemia. We will discuss the definitions of remodeling, its role as part of normal homeostasis, and its involvement in a range of pathologies. Subsequently, we address the evidence for the involvement of wall shear stress and wall stress under normal and pathological conditions, the need for an integrative, “systems level” understanding, and the translational perspectives of interfering with the regulation of resistance vessel structure.","2021","2025-07-24 20:26:38","2025-07-24 20:26:38","2025-06-30","47–68","","","","","","","","","","","Springer International Publishing","Cham","english","","","","","","","Citation Key: bakkerBiomechanicsSmallArtery2021 DOI: 10.1007/978-3-030-63164-2_3","","","","Vascular remodeling; Blood flow; Blood pressure; Wall shear stress; Wall stress","","Hecker, Markus; Duncker, Dirk J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2SKHLQM","journalArticle","1994","Ghassan S. Kassab; Ghassan S. Kassab; Ghassan S. Kassab; Kassab, Ghassan S.; Ghassan S. Kassab; Y. C. Fung; Fung, Yuan-Cheng","Topology and dimensions of pig coronary capillary network","American Journal of Physiology-heart and Circulatory Physiology","","","10.1152/ajpheart.1994.267.1.h319","","To provide a morphometric basis for any mathematical modeling of the coronary vasculature, data on the network of coronary capillary blood vessels and the topology of the arteriolar supply and venu...","1994-07","2025-07-24 20:26:38","2025-07-24 20:26:38","","","","1","267","","","","","","","","","","","","","","","","","Citation Key: ghassans.kassabTopologyDimensionsPig1994 PMID: 8048597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTHWEJK9","journalArticle","1996","Wim J.G. Hacking; Hacking, W. J. G.; Ed vanBavel; VanBavel, Ed; Jos A. E. Spaan; Spaan, Jos A. E.; J. A. E. Spaan","Shear stress is not sufficient to control growth of vascular networks: a model study","American Journal of Physiology-heart and Circulatory Physiology","","","10.1152/ajpheart.1996.270.1.h364","","Local vessel wall shear stress is considered to be important for vessel growth. This study is a theoretical investigation of how this mechanism contributes to the structure of a vascular network. T...","1996-01","2025-07-24 20:26:38","2025-07-24 20:26:38","","364–375","","1","270","","","","","","","","","","","","","","","","","Citation Key: wimj.g.hackingShearStressNot1996 PMID: 8769773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YG3CQMM","journalArticle","2011","Travasso, Rui D. M.; Poiré, Eugenia Corvera; Castro, Mario; Rodrguez-Manzaneque, Juan Carlos; Hernández-Machado, A.","Tumor Angiogenesis and Vascular Patterning: A Mathematical Model","PLOS ONE","","1932-6203","10.1371/journal.pone.0019989","","Understanding tumor induced angiogenesis is a challenging problem with important consequences for diagnosis and treatment of cancer. Recently, strong evidences suggest the dual role of endothelial cells on the migrating tips and on the proliferating body of blood vessels, in consonance with further events behind lumen formation and vascular patterning. In this paper we present a multi-scale phase-field model that combines the benefits of continuum physics description and the capability of tracking individual cells. The model allows us to discuss the role of the endothelial cells' chemotactic response and proliferation rate as key factors that tailor the neovascular network. Importantly, we also test the predictions of our theoretical model against relevant experimental approaches in mice that displayed distinctive vascular patterns. The model reproduces the in vivo patterns of newly formed vascular networks, providing quantitative and qualitative results for branch density and vessel diameter on the order of the ones measured experimentally in mouse retinas. Our results highlight the ability of mathematical models to suggest relevant hypotheses with respect to the role of different parameters in this process, hence underlining the necessary collaboration between mathematical modeling, in vivo imaging and molecular biology techniques to improve current diagnostic and therapeutic tools.","2011-05","2025-07-24 20:26:38","2025-07-24 20:26:38","2025-07-16","e19989","","5","6","","","Tumor Angiogenesis and Vascular Patterning","","","","","","","english","","","","","","","Citation Key: travassoTumorAngiogenesisVascular2011 Publisher: Public Library of Science","","","","Tumor angiogenesis; Capillaries; Cancers and neoplasms; Endothelial cells; Hypoxia; Mathematical models; Mouse models; Notch signaling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBMG293G","journalArticle","1995","Axel R. Pries; Pries, Axel R.; Timothy W. Secomb; Secomb, Timothy W.; P. Gaehtgens; Gaehtgens, Peter; Gaehtgens, Peter","Design principles of vascular beds.","Circulation Research","","","10.1161/01.res.77.5.1017","","Abstract Hemodynamic parameters were determined in each vessel segment of six complete microvascular networks in the rat mesentery by using a combination of experimental measurements and theoretical simulations. For a total number of 2592 segments, a strong unified dependence of wall shear stress on intravascular pressure for arterioles, capillaries, and venules was obtained. All three types of segments exhibit an essentially identical variation of shear stress from high to low values (from ≈100 to 10 dyne/cm2) as intravascular pressure falls from 70 to 15 mm Hg. On the basis of these observations, it is proposed that vascular beds grow and adapt so as to maintain the shear stress in each vessel at a level that depends on local transmural pressure. In contrast to Murray's classic `minimum-cost' hypothesis, which implies uniformity of wall shear rate throughout the vasculature, the proposed design principle provides an explanation for the functionally important arteriovenous asymmetry of wall shear rates a...","1995-11","2025-07-24 20:26:38","2025-07-24 20:26:38","","1017–1023","","5","77","","","","","","","","","","","","","","","","","Citation Key: axelr.priesDesignPrinciplesVascular1995 PMID: 7554136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZDKWFCQ","journalArticle","1994","Axel R. Pries; Pries, Axel R.; Timothy W. Secomb; Secomb, Timothy W.; Teresa Gessner; Gessner, T; Markus Sperandio; Sperandio, Markus; Joseph F. Gross; Gross, J F; P. Gaehtgens; Gaehtgens, Peter","Resistance to blood flow in microvessels in vivo.","Circulation Research","","","10.1161/01.res.75.5.904","","Resistance to blood flow through peripheral vascular beds strongly influences cardiovascular function and transport to tissue. For a given vascular architecture, flow resistance is determined by the rheological behavior of blood flowing through microvessels. A new approach for calculating the contribution of blood rheology to microvascular flow resistance is presented. Morphology (diameter and length), flow velocity, hematocrit, and topological position were determined for all vessel segments (up to 913) of terminal microcirculatory networks in the rat mesentery by intravital microscopy. Flow velocity and hematocrit were also predicted from mathematical flow simulations, in which the assumed dependence of flow resistance on diameter, hematocrit, and shear rate was optimized to minimize the deviation between measured and predicted values. For microvessels with diameters below approximately 40 microns, the resulting flow resistances are markedly higher and show a stronger dependence on hematocrit than previously estimated from measurements of blood flow in narrow glass tubes. For example, flow resistance in 10-microns microvessels at normal hematocrit is found to exceed that of a corresponding glass tube by a factor of approximately 4. In separate experiments, flow resistance of microvascular networks was estimated from direct measurements of total pressure drop and volume flow, at systemic hematocrits intentionally varied from 0.08 to 0.68. The results agree closely with predictions based on the above-optimized resistance but not with predictions based on glass-tube data. The unexpectedly high flow resistance in small microvessels may be related to interactions between blood components and the inner vessel surface that do not occur in smooth-walled tubes.","1994-11","2025-07-24 20:26:38","2025-07-24 20:26:38","","904–915","","5","75","","","","","","","","","","","","","","","","","Citation Key: axelr.priesResistanceBloodFlow1994 PMID: 7923637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK89MIAM","journalArticle","2010","Pries, Axel R.; Höpfner, Michael; le Noble, Ferdinand; Dewhirst, Mark W.; Secomb, Timothy W.","The shunt problem: Control of functional shunting in normal and tumour vasculature","Nature Reviews Cancer","","1474-1768","10.1038/nrc2895","","This Opinion article discusses how aberrant vascular remodelling might lead to tumour hypoxia. What controls this process, and could this be reversed — or normalized — by anti-angiogenic therapies?","2010-08","2025-07-24 20:26:38","2025-07-24 20:26:38","2024-09-19","587–593","","8","10","","","The shunt problem","","","","","","","english","","","","","","","Citation Key: Pries2010 Publisher: Nature Publishing Group tex.copyright: 2010 Springer Nature Limited","","","","Mechanisms of disease; Targeted therapies; Tumour angiogenesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSAX5KT6","journalArticle","2015","Bouchet, Audrey; Serduc, Raphäel; Laissue, Jean Albert; Djonov, Valentin","Effects of microbeam radiation therapy on normal and tumoral blood vessels","Physica Medica","","1120-1797","10.1016/j.ejmp.2015.04.014","","Microbeam radiation therapy (MRT) is a new form of preclinical radiotherapy using quasi-parallel arrays of synchrotron X-ray microbeams. While the deposition of several hundred Grays in the microbeam paths, the normal brain tissues presents a high tolerance which is accompanied by the permanence of apparently normal vessels. Conversely, the efficiency of MRT on tumor growth control is thought to be related to a preferential damaging of tumor blood vessels. The high resistance of the healthy vascular network was demonstrated in different animal models by in vivo biphoton microscopy, magnetic resonance imaging, and histological studies. While a transient increase in permeability was shown, the structure of the vessels remained intact. The use of a chick chorioallantoic membrane at different stages of development showed that the damages induced by microbeams depend on vessel maturation. In vivo and ultrastructural observations showed negligible effects of microbeams on the mature vasculature at late stages of development; nevertheless a complete destruction of the immature capillary plexus was found in the microbeam paths. The use of MRT in rodent models revealed a preferential effect on tumor vessels. Although no major modification was observed in the vasculature of normal brain tissue, tumors showed a denudation of capillaries accompanied by transient increased permeability followed by reduced tumor perfusion and finally, a decrease in number of tumor vessels. Thus, MRT is a very promising treatment strategy with pronounced tumor control effects most likely based on the anti-vascular effects of MRT.","2015-09","2025-07-24 20:26:38","2025-07-24 20:26:38","2025-07-01","634–641","","6","31","","","","Radiation Therapy with Synchrotron Radiation: Achievements and Challenges","","","","","","","","","","","","","Citation Key: bouchetEffectsMicrobeamRadiation2015","","","","Healthy tissue; Microbeam radiation therapy; Tumor; Vessels","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQ7H8M8W","journalArticle","2024","Kozbenko, Tatiana; Adam, Nadine; Grybas, Veronica S.; Smith, Benjamin J.; Alomar, Dalya; Hocking, Robyn; Abdelaziz, Janna; Pace, Amanda; Boerma, Marjan; Azimzadeh, Omid; Blattnig, Steve; Hamada, Nobuyuki; Yauk, Carole; Wilkins, Ruth; Chauhan, Vinita","AOP report: Development of an adverse outcome pathway for deposition of energy leading to abnormal vascular remodeling","Environmental and Molecular Mutagenesis","","1098-2280","10.1002/em.22636","","Cardiovascular diseases (CVDs) are complex, encompassing many types of heart pathophysiologies and associated etiologies. Radiotherapy studies have shown that fractionated radiation exposure at high doses (3–17 Gy) to the heart increases the incidence of CVD. However, the effects of low doses of radiation on the cardiovascular system or the effects from space travel, where radiation and microgravity are important contributors to damage, are not clearly understood. Herein, the adverse outcome pathway (AOP) framework was applied to develop an AOP to abnormal vascular remodeling from the deposition of energy. Following the creation of a preliminary pathway with the guidance of field experts and authoritative reviews, a scoping review was conducted that informed final key event (KE) selection and evaluation of the Bradford Hill criteria for the KE relationships (KERs). The AOP begins with a molecular initiating event of deposition of energy; ionization events increase oxidative stress, which when persistent concurrently causes the release of pro-inflammatory mediators, suppresses anti-inflammatory mechanisms and alters stress response signaling pathways. These KEs alter nitric oxide levels leading to endothelial dysfunction, and subsequent abnormal vascular remodeling (the adverse outcome). The work identifies evidence needed to strengthen understanding of the causal associations for the KERs, emphasizing where there are knowledge gaps and uncertainties in both qualitative and quantitative understanding. The AOP is anticipated to direct future research to better understand the effects of space on the human body and potentially develop countermeasures to better protect future space travelers.","2024","2025-07-24 20:26:38","2025-07-24 20:26:38","2025-07-01","4–30","","S3","65","","","AOP report","","","","","","","english","","","","","","","Citation Key: kozbenkoAOPReportDevelopment2024","","","","AOP; cardiovascular disease; oxidative stress; radiation; space exploration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
